rii,microsite
-0.0235669,Larrea tridentata
-0.033100417,Larrea tridentata
-0.027582371,Larrea tridentata
-0.167621595,Larrea tridentata
-0.085242702,Larrea tridentata
-0.158309739,Larrea tridentata
-0.122454813,Larrea tridentata
-0.013619562,Larrea tridentata
0.041111003,Larrea tridentata
0,Larrea tridentata
-0.016236271,Larrea tridentata
0.003875659,Larrea tridentata
0.008311688,Larrea tridentata
0.022513806,Larrea tridentata
0.022436274,Larrea tridentata
0.011571936,Larrea tridentata
-0.002320299,Larrea tridentata
0.01839691,Larrea tridentata
0.009114614,Larrea tridentata
0.068096697,Larrea tridentata
0.068462134,Larrea tridentata
0.103671844,Larrea tridentata
0.013010864,Larrea tridentata
-0.016228195,Larrea tridentata
-0.023980873,Larrea tridentata
-0.030201133,Larrea tridentata
-0.020615051,Larrea tridentata
-0.133674925,Larrea tridentata
-0.114430347,Larrea tridentata
-0.163079224,Larrea tridentata
-0.131930986,Larrea tridentata
-0.126186781,Larrea tridentata
0.004703045,Larrea tridentata
0.004822391,Larrea tridentata
0.003332836,Larrea tridentata
0.010134053,Larrea tridentata
0.014241307,Larrea tridentata
0.003845849,Larrea tridentata
-0.012156648,Larrea tridentata
-0.002172536,Larrea tridentata
0.030235972,Larrea tridentata
0.022513806,Larrea tridentata
0.014003134,Larrea tridentata
0.012335122,Larrea tridentata
0.027882706,Larrea tridentata
0.134608769,Larrea tridentata
0.068593053,Larrea tridentata
0.023670819,Larrea tridentata
-0.009662153,Larrea tridentata
-0.033045729,Larrea tridentata
0.006870455,Larrea tridentata
-0.152363296,Larrea tridentata
-0.123796636,Larrea tridentata
-0.167597183,Larrea tridentata
-0.122950629,Larrea tridentata
-0.096387605,Larrea tridentata
0,Larrea tridentata
-0.016618628,Larrea tridentata
-0.008393807,Larrea tridentata
0.00520888,Larrea tridentata
0.011709213,Larrea tridentata
0.005119425,Larrea tridentata
0.009347947,Larrea tridentata
0.02627823,Larrea tridentata
0.014800274,Larrea tridentata
0.030744485,Larrea tridentata
0.026660768,Larrea tridentata
0.095332891,Larrea tridentata
0.138308213,Larrea tridentata
0.127621738,Larrea tridentata
0.052326713,Larrea tridentata
0.023642421,Larrea tridentata
-0.012439745,Larrea tridentata
-0.048181877,Larrea tridentata
-0.012358879,Larrea tridentata
-0.153815878,Larrea tridentata
-0.143241054,Larrea tridentata
-0.19631823,Larrea tridentata
-0.151407059,Larrea tridentata
-0.068237968,Larrea tridentata
0.012594382,Larrea tridentata
-0.016352282,Larrea tridentata
0.004885213,Larrea tridentata
0.010082739,Larrea tridentata
0.011840216,Larrea tridentata
0.005282911,Larrea tridentata
0.032912054,Larrea tridentata
0.001861911,Larrea tridentata
0.010603866,Larrea tridentata
0.010778224,Larrea tridentata
0.00708838,Larrea tridentata
0.047053958,Larrea tridentata
0.065533701,Larrea tridentata
0.087899295,Larrea tridentata
0.036943869,Larrea tridentata
0.009832328,Larrea tridentata
0.0027688,Larrea tridentata
-0.022078905,Larrea tridentata
-0.01516439,Larrea tridentata
-0.16884511,Larrea tridentata
-0.138639179,Larrea tridentata
-0.171594601,Larrea tridentata
-0.102614924,Larrea tridentata
-0.016049839,Larrea tridentata
0.00464552,Larrea tridentata
