researcher,region,site_code,rep,x,y,z,shrub_species,NSAT,NSRH,SGT,microsite,date,start_time
ng,Carrizo,Carrizo_soda_shrub,16,223,251,148,Ephedra californica,15.73,18.47,9.4,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_soda_shrub,17,237,228,112,Ephedra californica,15.48,19.15,13.1,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_soda_shrub,18,350,220,187,Ephedra californica,15.04,22.25,7.2,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_soda_shrub,19,391,310,154,Ephedra californica,15.43,21.25,6.7,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_soda_shrub,20,236,225,111,Ephedra californica,10.49,27.64,12.4,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_soda_shrub,21,232,196,120,Ephedra californica,9.83,30.74,12.8,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_soda_shrub,22,222,188,98,Ephedra californica,9.56,28.06,16.1,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_soda_shrub,23,247,231,116,Ephedra californica,9.74,28.65,16.2,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_soda_shrub,24,162,155,93,Ephedra californica,9.69,27.88,6,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_soda_shrub,25,222,137,137,Ephedra californica,10.25,27.2,1.6,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_soda_shrub,26,370,313,139,Ephedra californica,10.68,26.46,3.9,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_soda_shrub,27,305,296,157,Ephedra californica,10.77,26.14,3.7,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_soda_shrub,28,310,283,136,Ephedra californica,11.11,26.36,4.4,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_soda_shrub,29,215,213,118,Ephedra californica,13.68,28.58,6.4,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_soda_shrub,30,237,199,120,Ephedra californica,12.75,25.83,14.6,shrub,15-02-2023,12:45
ng,Carrizo,Carrizo_4,1,310,298,170,Ephedra californica,17.25,22.07,18.9,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,2,405,353,186,Ephedra californica,16.75,21.11,15.3,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,3,314,297,147,Ephedra californica,16.95,19.75,18.5,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,4,300,225,152,Ephedra californica,12.18,20.15,12.5,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,5,305,292,100,Ephedra californica,17.17,19.56,18.6,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,6,303,235,133,Ephedra californica,17.43,29.4,19.7,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,7,297,242,126,Ephedra californica,17.5,20.65,21.1,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,8,305,292,129,Ephedra californica,17.56,19.28,17,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,9,314,285,148,Ephedra californica,17.54,19.35,16.6,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,10,474,305,145,Ephedra californica,16.67,18.73,13.6,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,11,384,310,144,Ephedra californica,17.6,17.84,18.7,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,12,405,385,146,Ephedra californica,17.09,20.2,19.6,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,13,210,197,134,Ephedra californica,16.7,18.37,16.9,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,14,361,354,171,Ephedra californica,16.8,19.01,16,shrub,16-02-2023,10:04
