project_id,site,microsite,animal_hit,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,scientific_name,year
2006384,Carrizo_soda_open,open,1,Minahil Malik,4457a0c6-cb68-44c0-9c27-ad08abe57755,Mammalia,Carnivora,Canidae,Vulpes,macrotis,Kit Fox,,2021-01-24 21:40,Vulpes macrotis,2023
2006384,Carrizo_soda_open,open,1,Minahil Malik,3809c79c-03bd-42a9-9620-2747d63193da,Mammalia,Rodentia,Sciuridae,Ammospermophilus,nelsoni,Nelson's Antelope Squirrel,,2021-01-27 8:55,Ammospermophilus nelsoni,2023
2006384,Carrizo_4,triangle,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-26 4:16,Lepus californicus,2023
2006384,Carrizo_4,triangle,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-26 4:17,Lepus californicus,2023
2006384,Carrizo_soda_open,triangle,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-26 4:30,Lepus californicus,2023
2006384,Carrizo_4,triangle,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-28 17:28,Lepus californicus,2023
2006384,Carrizo_soda_open,square,1,Minahil Malik,aaf3b049-36e6-46dd-9a07-8a580e9618b7,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,,2021-01-28 22:37,Canis latrans,2023
2006384,Carrizo_4,triangle,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-18 18:24,Lepus californicus,2023
2006384,Carrizo_4,triangle,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-22 20:21,Lepus californicus,2023
2006384,Carrizo_4,triangle,1,Minahil Malik,4457a0c6-cb68-44c0-9c27-ad08abe57755,Mammalia,Carnivora,Canidae,Vulpes,macrotis,Kit Fox,,2021-01-03 18:41,Vulpes macrotis,2023
2006384,Carrizo_4,square,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-07 4:27,Lepus californicus,2023
2006384,Carrizo_4,square,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-07 4:30,Lepus californicus,2023
2006384,Carrizo_4,square,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-07 4:30,Lepus californicus,2023
2006384,Carrizo_4,triangle,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-20 6:48,Lepus californicus,2023
2006384,Carrizo_4,Ephedra californica,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-22 5:31,Lepus californicus,2023
2006384,Carrizo_4,triangle,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-20 18:53,Lepus californicus,2023
2006384,Carrizo_4,square,1,Minahil Malik,9c7ff463-d1cb-47a6-9afa-30a7b7760fc0,Mammalia,Lagomorpha,Leporidae,Lepus,californicus,Black-tailed Jackrabbit,,2021-01-20 18:55,Lepus californicus,2023
