"ID","title","location","lat","long","days","captures","richness","animal.name","scientific.name","year","n_cams","bait","month.of.study","temperature","notes","mean.temp.sampling.period","max.temp.sampling.period","mean.annual.temp","n_sites","sample.design","X22","system","ecosystem","capture_rate","var_caprate","richness_rate","var_richnessrate"
51.1,"Estimating Species Richness and Modelling Habitat Preferences of Tropical Forest Mammals from Camera Trap Data (vol 9, e103300, 2014)",NA,-7.77,36.7,1818,10647,26,NA,NA,"2009",15,"no","July-November",NA,NA,19.9,NA,NA,3,"grid",NA,"mountain, most forest","deciduous",5.85643564356436,0.00322136174013441,0.0143014301430143,7.86657323598146e-06
53.1,"Assessing the impacts of oil exploration and restoration on mammals in Murchison Falls Conservation Area, Uganda","Murchison Falls Conservation Area, Uaganda",2.1458,31.81,1089,1756,27,NA,"Phacochoerus africanus , Kobis kob, Alcelaphus buselaphus, Ourebia ourebi, Syncerus caffer, Kobus ellipsiprymnus, Loxodonta africana, Giraffa camelopardis rothschildi, Hippopotamus amphibious, Papio anubis, Crocuta crocuta, Hystrix cristata, Tragelaphus scriptus, Erythrocebus patas, Orycteropus afer, Panthera pardus, Sylvicapra grimmia , Poelagus marjorita, Genetta maculata, Potamochoerus larvatus, Potamochoerus larvatus, Xerus erythropus, Panthera leo, Redunca redunca, Cricetomys gambianus, Herpestes ichneumon, Canis mesomelas","2014",38,"no","May-August",NA,NA,NA,NA,25.5,6,"distance",NA,"forest","deciduous",1.61248852157943,0.00148070571311242,0.0247933884297521,2.27671151788357e-05
55.1,"First structured camera-trap surveys in Karen State, Myanmar, reveal high diversity of globally threatened mammals","Karen State, Myanmar",16.95,97.95,9511,4191,31,NA,NA,"2014-2015",30,"no","December-July",NA,NA,NA,NA,NA,2,"haphazard",NA,"tropical forest","tropical",0.440647671117653,4.63303197474139e-05,0.00325938387130691,3.42696232920503e-07
57.1,"Diversity of terrestrial mammal seed dispersers along a lowland Amazon forest regrowth gradient","Northeastern Amazon, Brazil",0.92,-51.59,827,232,6,NA,NA,"2016",39,"no","June-July",NA,NA,NA,NA,NA,2,"distance",NA,"tropical forest","tropical",0.280532043530834,0.000339216497618905,0.00725513905683192,8.77284045566133e-06
59.1,"Free-ranging livestock influence species richness, occupancy, and daily behaviour of wild mammalian species in Baluran National Park, Indonesia","Baluran National Park, Indonesia",-7.83,114.39,1562,23021,11,NA,"B. javanicus, B. bubalis, P. pardus, R. timorensis, S. scrofa, M. muntjak, C. alpinus, T. auratus, H. javanica, P. bengalensis and P. hermaphroditus","2015-2016",25,"no","August-January",NA,NA,NA,NA,NA,5,"distance",NA,"savanna, lowland forest","grassland",14.7381562099872,0.0094354393149726,0.00704225352112676,4.50848496871111e-06
64.1,"Medium and large-sized mammals of the Reserva Ecologica de Guapiacu, Cachoeiras de Macacu, RJ","The Reserva Ecologica de Guapiacu",-22.37,-42.76,1589,302,12,NA,NA,"2012",120,"no","January-October",NA,NA,22.4,NA,NA,4,"trail",NA,"subtropical forest","tropical",0.190056639395846,0.000119607702577625,0.00755191944619257,4.7526239434818e-06
72.1,"Ecological correlates of mammal beta-diversity in Amazonian land-bridge islands: from small- to large-bodied species","Balbina Hydroelectric Reserve",-1.8,-59.48,48350,6290,22,NA,NA,"2011, 2012",16,"no",NA,NA,NA,NA,NA,NA,4,"transect",NA,"tropical forest","tropical",0.130093071354705,2.69065297527829e-06,0.000455015511892451,9.41086891194314e-09
73.1,"Large mammal richness in Llanganates National Park, Ecuador","Central Andes, Ecuador",-1.14,-78.24,2320,344,13,NA,NA,"2016",58,"no","February-August",NA,NA,NA,NA,NA,2,"haphazard",NA,"mountain","tropical",0.148275862068966,6.39120095124851e-05,0.00560344827586207,2.41527942925089e-06
75.1,"Seasonal dynamics of terrestrial vertebrate abundance between Amazonian flooded and unflooded forests","Médio Juruá Extractive Reserve, Brazil",-5.35,-67.7,10447,4059,21,NA,NA,"2013, 2015",6,"no","March-April",NA,NA,NA,NA,27.1,1,"distance",NA,"tropical","tropical",0.388532593088925,3.71908292417847e-05,0.00201014645352733,1.92413750696595e-07
76.1,"Biodiversity conservation in the Madrean sky islands: community homogeneity of medium and large mammals in northwestern Mexico","Sorona, Mexico",29.3,-110.33,6668,8243,25,NA,"Odocoileus virginianus, Odocoileus hemionus , Pecari tajacu , Procyon lotor , Nasua narica , Bassariscus astutus , Spilogale gracilis , Mephitis mephitis , Mephitis macroura , Conepatus leuconotus , Taxidea taxus, Ursus americanus , Urocyon cinereoargenteus , Canis latrans , Panthera onca , Puma concolor , Lynx rufus , Leopardus pardalis , Sylvilagus floridanus , Sylvilagus audubonii , Lepus alleni , Otospermophilus variegatus , Sciurus nayaritensis , Sciurus arizonensis , Didelphis virginiana","2009",10,"no","April-November",NA,NA,NA,NA,17,1,"tree mount",NA,"dryland","desert",1.23620275944811,0.000185393335250167,0.00374925014997001,5.62275067482004e-07
79.1,"The application of camera trapping to assess Rallidae species richness within palustrine wetland habitat in South Africa","Ingula Nature Reserve, South Africa",-28.2,29.56,566,445,15,NA,"Ixobrychus minutus, Microcarbo africanus, Amaurornis flavirostra, Porzana porzana, Balearica regulorum, Bugeranus carunculatus , Anas undulata , Sarothrura rufa, Plectropterus gambensis, Circus ranivorus, Ardea cinerea, Alcedo cristata, Tyto capensis, Rallus caerulescens, Gallinago nigripennis",NA,9,"no",NA,NA,NA,NA,NA,NA,1,"haphazard",NA,"grassland","grassland",0.786219081272085,0.00138907964889061,0.0265017667844523,4.68229095131666e-05
