rep,date,season,day,survey,microhabitat,family,species,migratory_class,guild,behavior_simple,month.day.hour
81,2019-08-17,summer,17,32,shrub,Laniidae,Loggerhead Shrike,resident,carnivore,Inactivity,8.17.7
820,2019-05-09,spring,9,24,open,Apodidae,White.throated Swift,resident,insectivore,Territorial/mating,5.9.14
821,2019-05-10,spring,10,25,open,Hirundinidae,Violet.green Swallow,summer resident,insectivore,Territorial/mating,5.10.12
826,2019-05-10,spring,10,25,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,Inactivity,5.10.12
828,2019-05-10,spring,10,25,cactus,Mimidae,Northern Mockingbird,resident,omnivore,Territorial/mating,5.10.12
82,2019-08-17,summer,17,33,open,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,8.17.17
832,2019-05-10,spring,10,25,shrub,Tyrannidae,Say's Phoebe,resident,insectivore,Inactivity,5.10.12
833,2019-05-10,spring,10,25,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,5.10.12
835,2019-05-10,spring,10,25,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Feeding,5.10.12
836,2019-05-10,spring,10,25,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Feeding,5.10.12
837,2019-05-10,spring,10,25,open,Columbidae,Mourning Dove,resident,granivore,Inactivity,5.10.12
83,2019-05-01,spring,1,3,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,Inactivity,5.1.16
83,2019-08-17,summer,17,33,open,Mimidae,Crissal Thrasher,resident,omnivore,Inactivity,8.17.17
841,2019-05-10,spring,10,25,cactus,Tyrannidae,Western Wood.Pewee,migrant,insectivore,Active movement,5.10.12
842,2019-05-10,spring,10,25,open,Tyrannidae,Western Wood.Pewee,migrant,insectivore,Active movement,5.10.12
843,2019-05-10,spring,10,25,open,Tyrannidae,Western Wood.Pewee,migrant,insectivore,Active movement,5.10.12
847,2019-05-10,spring,10,26,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Feeding,5.10.14
848,2019-05-10,spring,10,26,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Feeding,5.10.14
849,2019-05-10,spring,10,26,open,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Active movement,5.10.14
850,2019-05-10,spring,10,26,open,Mimidae,Northern Mockingbird,resident,omnivore,Active movement,5.10.14
851,2019-05-10,spring,10,26,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.10.14
852,2019-05-10,spring,10,26,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,5.10.14
853,2019-05-10,spring,10,26,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.10.14
854,2019-05-10,spring,10,26,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.10.14
855,2019-05-10,spring,10,26,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.10.14
856,2019-05-10,spring,10,26,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.10.14
857,2019-05-10,spring,10,26,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.10.14
85,2019-05-01,spring,1,3,open,Fringillidae,House Finch,resident,frugivore,Inactivity,5.1.16
85,2019-08-17,summer,17,33,cactus,Remezidae,Verdin,resident,insectivore,Territorial/mating,8.17.17
861,2019-05-10,spring,10,26,open,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,5.10.14
862,2019-05-10,spring,10,26,open,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,5.10.14
863,2019-05-10,spring,10,26,shrub,Parulidae,Nashville Warbler,migrant,insectivore,Territorial/mating,5.10.14
867,2019-05-10,spring,10,26,open,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Active movement,5.10.14
869,2019-05-10,spring,10,26,open,Passerellidae,Black.throated Sparrow,resident,granivore,Active movement,5.10.14
86,2019-05-01,spring,1,3,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,Inactivity,5.1.16
871,2019-05-10,spring,10,26,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,Territorial/mating,5.10.14
87,2019-05-01,spring,1,3,open,Troglodytidae,Rock Wren,resident,insectivore,Inactivity,5.1.16
87,2019-08-17,summer,17,33,cactus,Remezidae,Verdin,resident,insectivore,Territorial/mating,8.17.17
88,2019-08-17,summer,17,33,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.17.17
89,2019-05-01,spring,1,3,open,Ptiliogonatidae,Phainopepla,resident,frugivore,Inactivity,5.1.16
89,2019-08-17,summer,17,33,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,Inactivity,8.17.17
8,2019-05-01,spring,1,1,open,Unknown,Unknown,unknown,Unknown,Active movement,5.1.10
8,2019-08-14,summer,14,27,shrub,Tyrannidae,Western Kingbird,summer resident,insectivore,Cleaning,8.14.17
90,2019-05-01,spring,1,3,open,Ptiliogonatidae,Phainopepla,resident,frugivore,Inactivity,5.1.16
90,2019-08-17,summer,17,33,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.17.17
91,2019-05-01,spring,1,3,cactus,Mimidae,Northern Mockingbird,resident,omnivore,Territorial/mating,5.1.16
91,2019-08-17,summer,17,33,shrub,Remezidae,Verdin,resident,insectivore,Territorial/mating,8.17.17
92,2019-05-01,spring,1,3,cactus,Mimidae,Northern Mockingbird,resident,omnivore,Active movement,5.1.16
92,2019-08-17,summer,17,33,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.17.17
93,2019-05-01,spring,1,3,open,Hirundinidae,Violet.green Swallow,summer resident,insectivore,Active movement,5.1.16
93,2019-08-17,summer,17,33,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.17.17
94,2019-05-01,spring,1,3,open,Hirundinidae,Violet.green Swallow,summer resident,insectivore,Active movement,5.1.16
94,2019-08-17,summer,17,33,open,Passerellidae,Black.throated Sparrow,resident,granivore,Territorial/mating,8.17.17
95,2019-05-01,spring,1,3,open,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,Active movement,5.1.16
